RefCode ;EffectType;Mix;FlowerSpecies
B020;neutral;19;Salvia verbenaca
B020;neutral;19;Silene vulgaris
B020;neutral;19;Vicia sativa
B021;concentrator;20;Eryngium paniculatum Cav. & Dombey ex F. Delaroche
B021;concentrator;20;Baccharis linearis (Ruiz & Pav.) Pers.
B021;concentrator;20;Encelia canescens Lam.
B021;concentrator;20;Erigeron luxurians (Skottsb.) Solbrig
B021;concentrator;20;Eupatorium salvium Colla
B021;concentrator;20;Flourensia thurifera (Molina) DC.
B021;concentrator;20;Haplopappus integerrimus (Hook. & Arn.) H.M. Hall
B021;concentrator;20;Senna cumingii (Hook. & Arn.) H.S. Irwin & Barneby
B021;concentrator;20;Lepechinia salviae (Lindl.) Epling
B021;concentrator;20;Sphaeralcea obtusiloba (Hook.) G. Don
B021;concentrator;20;Lycium chilense Miers ex Bertero
B021;concentrator;20;Alonsoa meridionalis
B021;concentrator;20;Baccharis romboidalis
B021;concentrator;20;Eryngium paniculatum
B021;concentrator;20;Haploapappus macrocephalus
B022;concentrator;21;Helianthus annuus
B022;concentrator;21;Coriandrum sativum
B022;concentrator;21;Medicago sativa
B023;neutral;22;Alliaria petolata
B023;neutral;22;Anthriscus sylvestris
B023;neutral;22;Brassica napus
B023;neutral;22;Capsellabursa pastoris
B023;neutral;22;Cardamine pratensis
B023;neutral;22;Cerastium arvense
B023;neutral;22;Cerastium fontanum
B023;neutral;22;Crataegus monogyna
B023;neutral;22;Euphorbia helioscopa
B023;neutral;22;Fumaria muralis
B023;neutral;22;Fumaria officinalis
B023;neutral;22;Fumaria sp.
B023;neutral;22;Geranium robertianum
B023;neutral;22;Labium hybridum
B023;neutral;22;Matricaria discoidea
B023;neutral;22;Medicago lupulina
B023;neutral;22;Papaver sp.
B023;neutral;22;Poa annua
B023;neutral;22;Senecio vulgare
B023;neutral;22;Sinapis arvensis
B023;neutral;22;Sisymbrium officinale
B023;neutral;22;Sonchus oleraceus
B023;neutral;22;Taraxacum officinale
B023;neutral;22;Ulex europaeus
B023;neutral;22;Veronica persica
B023;neutral;22;Vicia sepium
B023;neutral;22;Viola tricolor
B023;exporter;23;Anthriscus sylvestris
B023;exporter;23;Arum maculatum
B023;exporter;23;Bellis perennis
B023;exporter;23;Cardamine pratensis
B023;exporter;23;Cerastium fontanum
B023;exporter;23;Crataegus monogyna
B023;exporter;23;Ficaria verna
B023;exporter;23;Hyacinthoides hispanica
B023;exporter;23;Hyacinthoides sp.
B023;exporter;23;Malus pumila
B023;exporter;23;Malus sp.
B023;exporter;23;Myosotis scorpioides
B023;exporter;23;Ranunculus repens
B023;exporter;23;Sambucus nigra
B023;exporter;23;Smyrnium olosatrum
B023;exporter;23;Taraxacum officinale
B023;exporter;23;Viburnum davidii
B023;exporter;23;Viburnum opulus
B023;exporter;23;Vicia sativa
B023;exporter;23;Vicia sepium
B023;neutral;23;Anthriscus sylvestris
B023;neutral;23;Arum maculatum
B023;neutral;23;Bellis perennis
B023;neutral;23;Cardamine pratensis
B023;neutral;23;Cerastium fontanum
B023;neutral;23;Crataegus monogyna
B023;neutral;23;Ficaria verna
