RefCode ;CropType;FlowerSpecies;Mix
B012;strawberry (Fragaria ananassa);Centaurea scabiosa;14
B012;strawberry (Fragaria ananassa);Centaureus cyanus;14
B012;strawberry (Fragaria ananassa);Cichorium intybus;14
B012;strawberry (Fragaria ananassa);Crepis biennis;14
B012;strawberry (Fragaria ananassa);Daucus carota;14
B012;strawberry (Fragaria ananassa);Echium vulgare;14
B012;strawberry (Fragaria ananassa);Hypochaeris radicata;14
B012;strawberry (Fragaria ananassa);Leontodon hispidus;14
B012;strawberry (Fragaria ananassa);Linum usitatissimum;14
B012;strawberry (Fragaria ananassa);Lotus corniculatus;14
B012;strawberry (Fragaria ananassa);Melilotus albus;14
B012;strawberry (Fragaria ananassa);Onobrychis viciifolia;14
B012;strawberry (Fragaria ananassa);Papaver rhoeas;14
B012;strawberry (Fragaria ananassa);Phacelia tanacetifolia;14
B012;strawberry (Fragaria ananassa);Picris hieracioides;14
B012;strawberry (Fragaria ananassa);Reseda lutea;14
B012;strawberry (Fragaria ananassa);Sinapis arvensis;14
B012;strawberry (Fragaria ananassa);Stachys annua;14
B012;strawberry (Fragaria ananassa);Trifolium hybridum;14
B012;strawberry (Fragaria ananassa);Trifolium incarnatum;14
B012;strawberry (Fragaria ananassa);Trifolium pratense;14
B012;strawberry (Fragaria ananassa);Fagopyrum esculentum;14
B012;strawberry (Fragaria ananassa);Lamium purpureum;14
B012;strawberry (Fragaria ananassa);Vicia sativa;14
B013;field mustard (Brassica rapa);Eriogonum fasciculatum foliolosum;15
B013;field mustard (Brassica rapa);Ceanothus griseus;15
B013;field mustard (Brassica rapa);Rhamnus californica tomentella;15
B013;field mustard (Brassica rapa);Baccharis pilularis;15
B013;field mustard (Brassica rapa);Sambucus nigra;15
B013;field mustard (Brassica rapa);Heteromeles arbutifolia;15
B014;blueberry (Vaccinium corymbosum);NA;NA
B015;blueberry (Vaccinium corymbosum);Zizia aurea;16
B015;blueberry (Vaccinium corymbosum);Penstemon digitalis;16
B015;blueberry (Vaccinium corymbosum);Coreopsis lanceolata;16
B015;blueberry (Vaccinium corymbosum);Rudbeckia hirta;16
B015;blueberry (Vaccinium corymbosum);Asclepias incarnata;16
B015;blueberry (Vaccinium corymbosum);Asclepias tuberosa;16
